Year,Nombre de passagers,Country Name Normalized,Departs de Transporteur,fret(TonnesMbyKm),Total annual CO₂ emissions from aviation,Carburant utilise,PIB
2013,2044188.0,afghanistan,21696.0,84.621216,208656.12,66527.04,20146416757.5987
2014,2209428.0,afghanistan,25920.0,34.283472,227078.3,57348.79,20497128555.6972
2015,1929907.0,afghanistan,23532.0,33.102038592,187643.45,61200.21,19134221644.7325
2016,1917924.0,afghanistan,22770.0,29.010880897,177195.73,59217.57,18116572395.0772
2017,1647425.0,afghanistan,24207.0,21.462556513,204241.47,58524.08,18753456497.8159
2018,1125367.0,afghanistan,10454.0,29.5593487980126,236053.94,59721.0,18053222687.4126
2019,1066747.35619248,afghanistan,7334.0,20.0142059549175,159873.33,61751.11,18799444490.1128
2020,449041.025,afghanistan,4635.714,19.878902393,79252.125,62403.68,19955929052.1496
2013,4492436.96334419,algeria,55516.0,17.5024186277313,843895.0,21401.98,229701430292.157
2014,5021288.96334419,algeria,60066.0,21.6623331878,918869.4,24147.29,238942664192.59
2015,5400896.0,algeria,65940.0,21.9016451671492,1025135.5,24910.41,187493855609.345
2016,6093416.0,algeria,73465.0,21.591025,1136563.8,21927.33,180763839522.151
2017,6230157.0,algeria,74714.0,24.80375,1215380.4,23653.38,189880896903.073
2018,6442442.0,algeria,77463.0,28.28048,1125109.8,24491.89,194554483655.528
2019,6752002.0,algeria,76049.0,25.641745,921682.44,24574.88,193459662090.677
2020,1460077.0,algeria,18719.0,15.638799,192887.89,20886.96,164873415325.201
2013,1321872.0,angola,14496.0,70.431,605774.06,110535.72,132339109040.232
2014,1409952.0,angola,13716.0,65.517,662571.6,93620.86,135966802586.713
2015,1244491.0,angola,13116.0,46.043,654642.56,108785.23,90496420506.5957
2016,1482546.0,angola,15482.0,43.940435,634277.1,113731.55,52761617225.9253
2017,1375523.0,angola,13494.0,67.32035,609196.2,108744.24,73690154990.7312
2018,1516628.0,angola,13978.0,78.15964,599962.6,99052.84,79450688259.3664
2019,1436959.0,angola,13647.0,68.04358,614793.4,109596.13,70897962732.0277
2020,356695.0,angola,3792.0,28.89977,191202.84,95380.81,48501561203.5686
2013,11951276.8223926,argentina,145136.020724733,268.710767897573,3959389.0,68075.35,552025140252.246
2014,12121912.818,argentina,134521.0,261.60894,3974954.5,75860.93,526319673731.638
2015,14245183.0,argentina,145585.0,243.7725665,4061345.8,69471.22,594749285413.212
2016,15076354.0,argentina,149334.0,254.181413504,4255778.5,76088.0,557532320662.955
2017,16749271.0,argentina,146631.0,305.102,4574941.0,77739.33,643628393281.364
2018,18084553.0,argentina,161862.0,311.720805,4942872.0,68807.5,524819892360.176
2019,19461377.0,argentina,163106.0,280.283172,4384410.0,73467.92,447754683615.225
2020,3680874.0,argentina,27447.0,81.12423,1263717.4,77659.22,385740508436.965
2013,68197955.0,australia,641451.0,1984.693734,19103196.0,99036.44,1577123329410.88
2014,68123237.6693167,australia,664970.0,1925.77200862967,19381840.0,91453.6,1468265356427.76
2015,69779346.0,australia,668961.0,1907.05190944687,19541120.0,89964.17,1351296372254.31
2016,72446421.0,australia,682937.0,1868.73262766,20878712.0,101770.18,1206836962281.84
2017,74257326.0,australia,672349.0,1982.586170817,21766560.0,92947.24,1325582658156.54
2018,75667645.0347507,australia,665384.0,2027.63710989603,22482604.0,103070.69,1427809041019.44
2019,76850596.719,australia,684170.0,1931.1555305,22084274.0,97386.11,1392723834562.64
2020,23346254.0,australia,310837.0,1316.50942,9222940.0,96598.75,1328414058378.38
2013,15037454.0,austria,166251.0,326.399,1942942.8,20688.88,426580502769.417
2014,15210489.0,austria,162576.0,369.955,2069204.5,18792.25,438556021078.034
2015,14718641.0,austria,152056.0,351.379,2156687.0,19280.01,379546097300.633
2016,14724774.0,austria,149030.0,387.739,2244702.2,18633.65,393687359770.273
2017,16171640.0,austria,156761.0,391.268,2274704.2,17984.03,414926138132.691
2018,12935505.0,austria,130260.0,373.511,2537187.8,20513.83,452582294972.775
2019,46476602.0,austria,330226.0,320.036527,2955016.2,19262.13,442983642371.842
2020,13285414.0,austria,121668.0,74.560823,1006389.5,17095.06,434397601557.696
2013,1651710.0,azerbaijan,15886.0,17.9216,368848.34,90101.34,74160560123.6902
2014,1770192.0,azerbaijan,21910.0,385.14865,382622.38,93842.55,75239785452.1022
2015,1803112.0,azerbaijan,23781.0,686.94149,393101.2,100542.02,53076235354.746
2016,1961639.0,azerbaijan,24009.0,732.789755,387658.9,90673.03,37866996882.9157
2017,2331308.0,azerbaijan,20699.0,61.6255,425822.8,100963.77,40866627351.9817
2018,2279546.0,azerbaijan,19960.0,44.0886,442269.16,95640.27,47112470051.7701
2019,2585280.0,azerbaijan,28974.0,1620.43791,440162.03,84299.05,48174235294.1176
2013,2781708.0,bangladesh,59064.0,225.1869,917908.0,89551.3,149998957434.186
2014,3051914.73321389,bangladesh,65364.0,207.73842,1051882.4,77517.47,172886611653.786
2015,3997815.0,bangladesh,55864.0,57.0095471847824,1240751.0,80115.99,195146608978.131
2016,3815869.0,bangladesh,59728.0,53.97916179,1298522.6,85255.28,265224515675.034
2017,4660739.03831114,bangladesh,70503.0,61.74997781,1460492.0,91689.74,293732446624.596
2018,5677396.0,bangladesh,53061.0,50.616612,1537293.5,84840.73,321362752441.78
2019,6260241.0,bangladesh,68351.0,168.660713625,1317098.0,75748.48,351231654603.692
2020,2984121.694,bangladesh,42827.89,117.785203056,583153.2,88857.32,373979442362.193
2014,1317732.0,belarus,21168.0,1.821996,166599.95,35662.02,78812805039.0743
2015,1489035.0,belarus,22939.0,1.807,189553.22,39132.61,56454889146.6088
2016,2057194.0,belarus,26857.0,1.266,230666.12,38283.2,47723545321.259
2017,2493100.0,belarus,29562.0,1.9151,243342.61,36890.52,54725302249.8088
2013,9521421.0,belgium,130230.0,1560.81076,2445905.0,7919.06,524097026598.55
